creneau;bouin;ext1;ext2;
09:20;cug1 - lar1 (u11m_a);toa2 - vill (u11m_b);cug2 - otb (u11m_b);
;;;;
09:40;cugn - vil1 (u11f);net1 - stjo (u11m_a);lave - vil2 (u11f);
;;;;
10:00;cug1 - mont (u11m_a);net2 - toa2 (u11m_b);lar2 - otb (u11m_b);
;;;;
10:20;cugn - vil2 (u11f);stjo - toa1 (u11m_a);lave - vil1 (u11f);
;;;;
10:40;lar2 - vill (u11m_b);mont - net1 (u11m_a);net2 - otb (u11m_b);
;;;;
11:00;cugn - lard (u11f);vil1 - vil2 (u11f);lave - mont (u11f);
;;;;
11:20;lar2 - toa2 (u11m_b);lar1 - mont (u11m_a);cug2 - net2 (u11m_b);
;;;;
11:40;otb - vill (u11m_b);cug1 - stjo (u11m_a);-;
;;;;
12:00;cug2 - lar2 (u11m_b);lar1 - net1 (u11m_a);mont - toa1 (u11m_a);
;;;;
12:20;otb - toa2 (u11m_b);-;-;
;;;;
12:40;mont - vil2 (u11f);lar2 - net2 (u11m_b);lard - vil1 (u11f);
;;;;
13:00;cugn - lave (u11f);-;-;
;;;;
13:20;lard - vil2 (u11f);cug1 - net1 (u11m_a);mont - vil1 (u11f);
;;;;
13:40;mont - stjo (u11m_a);lar1 - toa1 (u11m_a);-;
;;;;
14:00;lard - mont (u11f);net2 - vill (u11m_b);cug2 - toa2 (u11m_b);
;;;;
14:20;lar1 - stjo (u11m_a);cug1 - toa1 (u11m_a);-;
;;;;
14:40;cugn - mont (u11f);cug2 - vill (u11m_b);lard - lave (u11f);
;;;;
15:00;net1 - toa1 (u11m_a);-;-;
;;;;
